user,control,time-seconds,step
9,false,0,1
9,false,6,2
9,false,70,3
9,false,136,4
9,false,177,5
9,false,190,4
9,false,194,5
9,false,346,6
9,false,863,7
9,false,1066,8
9,false,1190,9
9,false,1408,10
9,false,1521,11
9,false,1898,12
9,false,2125,13
9,false,2260,14
9,false,2309,15
9,false,2464,16
89,true,0,1
89,true,6,2
89,true,50,3
89,true,87,4
89,true,144,5
89,true,233,6
89,true,343,7
89,true,437,8
89,true,586,9
89,true,597,8
89,true,610,9
89,true,613,8
89,true,616,9
89,true,658,10
89,true,758,11
89,true,1073,12
89,true,1182,13
89,true,1325,14
89,true,1341,15
89,true,1479,16
89,true,1485,17
89,true,1485,16
89,true,1822,15
89,true,1824,14
89,true,1835,13
89,true,2412,12
89,true,2450,13
89,true,2454,14
89,true,2459,15
45,false,0,1
45,false,6,2
45,false,23,3
45,false,71,4
45,false,100,5
45,false,194,6
45,false,404,7
45,false,561,8
45,false,641,9
45,false,765,10
45,false,834,11
45,false,1078,12
45,false,1177,13
45,false,1285,14
45,false,1329,15
45,false,1446,16
15,false,0,1
15,false,9,2
15,false,63,3
15,false,121,4
15,false,142,5
15,false,247,6
15,false,473,7
15,false,658,8
15,false,767,9
15,false,934,10
15,false,1347,12
15,false,1527,13
15,false,1693,14
15,false,1749,15
15,false,1896,16
32,true,0,1
32,true,6,2
32,true,19,3
32,true,41,2
32,true,42,3
32,true,84,4
32,true,124,5
32,true,187,4
32,true,187,3
32,true,189,2
32,true,192,3
32,true,194,4
32,true,195,5
32,true,257,6
32,true,465,7
32,true,597,8
32,true,601,7
32,true,603,8
32,true,607,7
32,true,739,8
32,true,952,7
32,true,961,6
32,true,970,7
32,true,976,8
32,true,986,9
32,true,990,8
32,true,1000,9
32,true,1002,8
32,true,1008,9
32,true,1070,8
32,true,1073,7
32,true,1182,8
32,true,1185,9
32,true,1203,8
32,true,1210,9
32,true,1213,8
32,true,1262,9
32,true,1279,8
32,true,1282,9
32,true,1373,10
32,true,1515,11
32,true,2250,10
32,true,2306,9
32,true,2309,8
32,true,2363,7
32,true,2364,6
32,true,2369,5
32,true,2436,6
32,true,2454,7
32,true,2467,8
32,true,2469,9
32,true,2471,10
32,true,2479,11
32,true,2484,12
32,true,2490,13
32,true,2494,12
66,false,0,1
66,false,26,2
66,false,83,3
66,false,135,4
66,false,159,5
66,false,331,6
66,false,478,7
66,false,690,8
66,false,923,9
66,false,1093,10
66,false,1303,11
66,false,1960,12
66,false,2077,13
66,false,2434,14
66,false,2474,15
13,true,0,1
13,true,15,2
13,true,95,3
13,true,124,4
13,true,185,5
13,true,364,6
13,true,459,5
13,true,469,6
13,true,531,7
13,true,857,8
13,true,992,9
13,true,998,8
13,true,1003,9
13,true,1170,10
13,true,1255,11
13,true,1994,12
13,true,2150,13
13,true,2470,14
13,true,2484,15
13,true,2490,14
13,true,2499,13
13,true,2503,14
13,true,2511,15
20,false,0,1
20,false,11,2
20,false,63,3
20,false,113,4
20,false,149,5
20,false,452,6
20,false,703,7
20,false,898,8
20,false,1036,9
20,false,1259,10
20,false,1373,11
20,false,1674,12
20,false,1881,13
20,false,2055,14
20,false,2117,15
20,false,2491,16
24,false,0,1
24,false,15,2
24,false,67,3
24,false,123,4
24,false,166,5
24,false,284,6
24,false,524,7
24,false,675,8
24,false,828,9
24,false,1027,10
24,false,1757,11
24,false,1916,12
24,false,2077,13
24,false,2216,14
24,false,2288,15
37,true,0,1
37,true,16,2
37,true,29,3
37,true,32,2
37,true,34,3
37,true,87,4
37,true,117,5
37,true,210,6
37,true,326,7
37,true,436,8
37,true,440,7
37,true,472,8
37,true,569,9
37,true,575,8
37,true,577,9
37,true,684,8
37,true,687,9
37,true,755,10
37,true,810,11
37,true,918,12
37,true,1016,13
37,true,1157,14
37,true,1168,15
37,true,1273,16
37,true,1276,17
37,true,1276,16
37,true,1344,17
37,true,1345,16
37,true,1349,17
37,true,1350,16
37,true,1350,17
37,true,1350,16
37,true,1360,17
37,true,1360,16
37,true,1379,15
37,true,1381,14
37,true,1382,13
37,true,1382,12
37,true,1383,11
37,true,1383,10
37,true,1384,9
37,true,1385,8
37,true,1385,7
37,true,1386,6
37,true,1387,5
37,true,1387,4
37,true,1388,5
37,true,1391,6
37,true,1391,5
37,true,1397,6
37,true,1847,5
37,true,1937,6
37,true,1937,7
37,true,1938,8
37,true,1938,9
37,true,1939,10
37,true,1939,11
37,true,1941,12
37,true,1953,13
37,true,1959,14
37,true,1962,15
37,true,1973,14
37,true,1974,13
37,true,1977,14
37,true,1978,13
37,true,2040,14
78,true,0,1
78,true,16,2
78,true,40,3
78,true,91,4
78,true,137,5
78,true,201,6
78,true,473,7
78,true,654,8
78,true,761,9
78,true,763,8
78,true,765,9
78,true,772,8
78,true,784,9
78,true,896,10
78,true,975,11
78,true,1240,12
78,true,1675,13
78,true,1811,14
78,true,1822,15
78,true,2007,16
50,true,0,1
50,true,14,2
50,true,29,3
50,true,67,4
50,true,82,5
50,true,102,4
50,true,105,3
50,true,106,2
50,true,109,3
50,true,111,4
50,true,112,5
50,true,183,6
50,true,237,5
50,true,242,6
50,true,351,7
50,true,440,8
50,true,587,9
50,true,699,10
50,true,757,9
50,true,759,8
50,true,759,7
50,true,760,6
50,true,762,5
50,true,764,6
50,true,804,7
50,true,806,8
50,true,811,9
50,true,814,10
50,true,820,11
50,true,826,10
50,true,832,11
50,true,969,12
50,true,1140,13
50,true,1383,12
50,true,1394,11
50,true,1412,12
50,true,1418,11
50,true,1438,12
50,true,1439,13
50,true,1481,12
50,true,1488,11
50,true,1561,12
50,true,1565,13
50,true,1717,12
50,true,1726,11
50,true,1729,12
50,true,1776,13
50,true,1832,14
50,true,1844,15
50,true,1919,16
50,true,1940,15
50,true,1945,14
50,true,1961,15
50,true,1989,16
50,true,1993,17
50,true,1993,16
50,true,1995,17
50,true,1995,16
50,true,1999,17
50,true,2000,16
50,true,2099,15
50,true,2129,16
50,true,2243,15
50,true,2244,14
50,true,2244,13
50,true,2244,12
50,true,2245,11
50,true,2245,10
50,true,2245,10
50,true,2246,9
50,true,2247,8
50,true,2265,7
50,true,2276,8
50,true,2349,9
50,true,2367,10
50,true,2376,9
50,true,2393,8
50,true,2397,9
50,true,2403,10
50,true,2410,11
50,true,2414,10
50,true,2418,9
50,true,2421,8
50,true,2433,9
50,true,2435,10
50,true,2439,11
50,true,2444,12
50,true,2448,11
50,true,2453,10
50,true,2456,9
50,true,2482,8
50,true,2487,9
50,true,2503,10
50,true,2505,11
50,true,2506,12
50,true,2506,11
50,true,2517,12
50,true,2522,13
50,true,2527,14
50,true,2539,15
50,true,2564,16
50,true,2570,15
50,true,2571,14
50,true,2572,13
50,true,2572,12
50,true,2573,11
50,true,2573,10
50,true,2574,9
50,true,2583,8
50,true,2646,7
50,true,2652,6
50,true,2655,5
50,true,2656,4
50,true,2680,5
50,true,2681,6
